ID,description,price
59,Deep Gaming Nubian 17 Intel Core i7-13700H/32GB/1TB SSD/RTX 3050/17.3,1549.01
60,Microsoft Surface Laptop Go 2 Intel Core i5-1135G7/8GB/128GB SSD/12.4 Táctil,769.0
61,Dell Vostro 3420 Intel Core i5-1135G7/8 GB/512GB SSD/14,743.0
62,ASUS ZenBook 14 OLED UX3402VA-KM005W Intel Evo Core i7-1360P/16GB/512GB SSD/14,1259.01
63,Gigabyte G5 KF-E3ES313SD Intel Core i5-12500H/16GB/512GB SSD/RTX 4060/15.6,1109.0
64,MSI Prestige 13 Evo A13M-068ES Intel Evo Core i7-1360P/32GB/1TB SSD/13.3,1599.0
65,MSI Thin GF63 12UDX-042XES Intel Core i5-12450H/16GB/512GB SSD/RTX 3050/15.6,999.0
66,ASUS ExpertBook B1 B1502CBA-EJ0426X Intel Core i7-1255U/16GB/512GB SSD/15.6,950.53
67,Medion Akoya S15449-MD62128 Intel Core i5-1135G7/8GB/512GB SSD/15.6,669.01
68,ASUS VivoBook 15 F1500EA-EJ3431W Intel Core i5-1135G7/16GB/512GB SSD/15.6,804.7
69,ASUS Chromebook CX1500CNA-EJ0100 Intel Celeron N3350/8GB/64GB eMMC/15.6,399.0
70,Acer Aspire 3 A315-56-75WC Intel Core i7-1065G7/8GB/512GB SSD/15.6,475.83
71,Lenovo Legion 5 Pro 16IAH7H Intel Core i7-12700H/16GB/1TB SSD/RTX3060/16,2326.78
72,Lenovo V15 IGL Intel Celeron N4020/8GB/256 GB SSD/15.6,349.0
73,ASUS Vivobook M1503IA AMD Ryzen 7 4800H/16GB/512GB SSD/15.6 (PT),1035.84
74,Microsoft Surface Pro 8 Intel Evo Core i5-1145G7/8GB/128GB SSD/13 Táctil Platino,1582.0
75,HP Victus 16-E0071NS AMD Ryzen 7 5800H/8GB/512GB SSD/RX 5500M/16.1,909.13
76,Apple MacBook Air Apple M1/16GB/256GB SSD/GPU Hepta Core/13.3 Gris Espacial,1349.0
77,Lenovo IdeaPad S145-15IIL Intel Core i7-1065G7/8GB/256GB SSD/15.6,501.99
78,ASUS ExpertBook B1 B1502CBA-EJ0424X Intel Core i3-1215U/8GB/256GB SSD/15.6,789.0
79,Dell Latitude 5530 Intel Core i5-1235U/8GB/256GB SSD/15.6,1040.55
80,MSI Modern 14 B10RBSW-419XES Intel Core i7-10510U/16GB/1TB SSD/MX 350/14,644.39
81,Samsung Chromebook 2 Intel Celeron N4500/4GB/64GB/12.4 Táctil,498.73
82,ASUS TUF Gaming F15 Fx506lhb-hn359 Intel Core i5-10300H/16GB/512GB SSD/GTX 1650/15.6,719.01
83,HP OMEN 16-b0045ns Intel Core i7-11800H/16GB/1TB SSD/RTX 3060/16.1,1499.0
84,ASUS TUF GAMING A15 FA507XI-R97B47CS1 AMD Ryzen 9 7940HS/16GB/1TB SSD/RTX4070/15.6 (PT),2017.87
85,HP 15S-EQ2103NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6,709.65
86,ASUS ZenBook 14 UM425QA-KI252 AMD Ryzen 7 5800H/16GB/512GB SSD/14,999.0
87,Lenovo IdeaPad Gaming 3 15ACH6-381 AMD Ryzen 5 5600H/8GB/512GB SSD/RTX3050/15.6 (PT),944.82
88,Lenovo V15 G2 ALC AMD Ryzen 5 5500U/16GB/512GB SSD/15.6,475.0
89,ASUS F515EA-BQ1859W Intel Core i3-1115G4/8GB/256GB SSD/15.6,570.43
90,Lenovo ThinkPad E590 Intel Core i7-8565U/8GB/256GB SSD/15.6,735.92
91,PcCom Revolt 3060 Intel Core i7-12700H/32GB/500GB SSD/RTX 3060/15.6/Windows 11 Home,1699.0
92,Acer Aspire 3 A315-56-566L Intel Core i5-1035G1/8GB/256GB SSD/15.6,529.0
93,Apple Macbook Air Apple M2/8GB/256GB SSD/GPU Octa Core/13.6 Midnight,1519.0
94,MSI Modern 15 B12M-025XES Intel Core i5-1235U/8GB/512GB SSD/15.6,799.0
95,Gigabyte AORUS 17G KD-72ES325SD Intel Core i7-11800H/16GB/512GB SSD/RTX 3060/17.3,1552.82
96,HP ChromeBook 14b-na0013ns AMD Athlon Silver 3050C/4GB/64GB eMMC/14,419.0
97,MSI Creator M16 B13VE-680XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4050/16,1749.0
98,HP 15S-FQ4065NS Intel Core i7-1195G7/8GB/512GB SSD/15.6,734.64
99,MSI Modern 14 C13M-447XES Intel Core i5-1335U/16GB/512GB SSD/14,799.0
100,Dell Latitude 3520 Intel Core i5-1135G7/8GB/256GB SSD/15.6'' (PT),915.78
